Iteration 0 ----> l:-437037312.1248089 h:18011.426106264407  o:11123.32253776207
Iteration 10 ----> l:-314249206.2499828 h:16610.86848700747  o:15216.39010745766
Iteration 20 ----> l:-283991237.57446736 h:20206.05007764313  o:9070.774576292559
Iteration 30 ----> l:-283991237.57446736 h:20206.05007764313  o:9070.774576292559
Iteration 40 ----> l:-283991237.57446736 h:20206.05007764313  o:9070.774576292559
Iteration 50 ----> l:-283991237.57446736 h:20206.05007764313  o:9070.774576292559
Iteration 60 ----> l:-283991237.57446736 h:20206.05007764313  o:9070.774576292559
Iteration 70 ----> l:-283991237.57446736 h:20206.05007764313  o:9070.774576292559
Iteration 80 ----> l:-274763734.64422476 h:23603.595369573493  o:15296.426362339567
Iteration 90 ----> l:-274763734.64422476 h:23603.595369573493  o:15296.426362339567
